Country,Last,Previous,"Reference
",Unit
China,1410,1412,Dec/23,Million
India,1374,1361,Dec/22,Million
European Union,448,447,Dec/23,Million
Euro Area,345,343,Dec/23,Million
United States,334,332,Dec/22,Million
Indonesia,276,273,Dec/22,Million
Pakistan,236,225,Dec/22,Million
Nigeria,218,213,Dec/22,Million
Brazil,215,213,Dec/22,Million
Bangladesh,171,169,Dec/22,Million
Russia,146,146,Dec/22,Million
Mexico,129,126,Dec/22,Million
Japan,125,126,Dec/22,Million
Ethiopia,123,120,Dec/22,million
Philippines,112,110,Dec/22,Million
Egypt,104,104,Dec/22,Million
Vietnam,99.5,98.51,Dec/22,Million
Congo,95.01,92.2,Dec/22,Million
Iran,85.3,84.7,Dec/23,Million
Turkey,85.28,84.68,Dec/22,Million
Germany,84.4,83.24,Dec/22,Million
France,68.14,67.93,Dec/23,Million
United Kingdom,67.79,67.53,Dec/22,Million
Thailand,66.09,66.17,Dec/22,Million
South Africa,62.03,60.6,Dec/22,Million
Tanzania,61.74,61.5,Dec/22,Million
Italy,58.98,59.24,Dec/22,Million
Myanmar,54.18,53.8,Dec/22,Million
Colombia,51.87,51.41,Dec/22,Million
South Korea,51.69,51.74,Dec/22,Million
Kenya,50.6,49.7,Dec/22,Million
Spain,48.06,47.43,Dec/23,Million
Uganda,47.25,45.85,Dec/22,Million
Sudan,46.87,45.66,Dec/22,million
Argentina,46.24,45.81,Dec/22,Million
Algeria,44.9,44.7,Dec/22,Million
Iraq,44.5,43.53,Dec/22,Million
Ukraine,41,41.42,Dec/21,Million
Canada,39.29,38.43,Dec/22,Million
Poland,36.75,37.65,Dec/23,Million
Morocco,36.67,36.31,Dec/22,Million
Uzbekistan,36.02,35.27,Dec/22,Million
Afghanistan,34.3,33.6,Dec/22,Million
Peru,33.73,33.4,Dec/23,Million
Yemen,33.7,32.98,Dec/22,Million
Ghana,33.48,32.83,Dec/22,Million
Venezuela,33.36,32.98,Dec/22,Million
Angola,33.09,32.1,Dec/22,Million
Malaysia,33,32.6,Dec/22,Million
Saudi Arabia,32.18,30.78,Dec/22,Million
Mozambique,31.62,30.83,Dec/22,Million
Nepal,30.55,30.03,Dec/22,Million
Ivory Coast,30.21,29.39,Dec/22,Million
Madagascar,29.61,28.92,Dec/22,Million
Cameroon,27.9,27.2,Dec/22,Million
Australia,26.27,25.77,Dec/22,Million
Niger,26.21,25.25,Dec/22,Million
North Korea,26.07,25.97,Dec/22,Million
Taiwan,23.26,23.38,Dec/22,Million
Mali,22.59,21.9,Dec/22,Million
Sri Lanka,22.18,22.16,Dec/22,Million
Syria,22.13,21.32,Dec/22,Million
Burkina Faso,22.1,21.46,Dec/22,Million
Malawi,20.41,19.89,Dec/22,Million
Chile,19.96,19.68,Dec/22,Million
Kazakhstan,19.77,19.13,Dec/22,Million
Zambia,19.61,18.4,Dec/22,Million
Romania,19.05,19.04,Dec/23,Million
Ecuador,18,17.8,Dec/22,Million
Netherlands,17.81,17.59,Dec/23,Million
Senegal,17.7,17.2,Dec/22,Million
Somalia,17.6,17.07,Dec/22,Million
Chad,17.41,16.82,Dec/22,million
Guatemala,17.36,17.11,Dec/22,Million
Cambodia,16.77,16.59,Dec/22,Million
Zimbabwe,15.18,15.09,Dec/22,million
Benin,13.32,12.91,Dec/23,Million
Guinea,13.26,12.91,Dec/22,Million
Rwanda,13.25,13.28,Dec/22,Million
Burundi,12.89,12.55,Dec/22,Million
Bolivia,12.01,11.84,Dec/22,Million
Tunisia,11.85,11.76,Dec/22,Million
Belgium,11.63,11.55,Dec/22,Million
Haiti,11.58,11.45,Dec/22,Million
Jordan,11.3,11.06,Dec/22,Million
Cuba,11.09,11.11,Dec/22,Million
South Sudan,10.91,10.75,Dec/22,million
Czech Republic,10.76,10.5,Dec/22,Million
Dominican Republic,10.62,10.54,Dec/22,Million
Greece,10.6,10.68,Dec/22,Million
Sweden,10.52,10.45,Dec/23,Million
Portugal,10.47,10.35,Dec/23,Million
Papua New Guinea,10.14,9.95,Dec/22,Million
Azerbaijan,10.13,10.06,Dec/23,Million
Tajikistan,9.72,9.89,Dec/22,Million
Honduras,9.6,9.45,Dec/22,Million
Hungary,9.6,9.69,Dec/23,Million
Israel,9.56,9.37,Dec/22,Million
United Arab Emirates,9.44,9.37,Dec/22,Million
Belarus,9.2,9.26,Dec/22,Million
Austria,9.1,8.98,Dec/23,Million
Togo,8.85,8.64,Dec/22,Million
Switzerland,8.81,8.74,Dec/23,Million
Sierra Leone,8.61,8.42,Dec/22,Million
Paraguay,7.45,7.35,Dec/22,Million
Laos,7.44,7.34,Dec/22,Million
Hong Kong,7.35,7.41,Dec/22,Million
Kyrgyzstan,7.04,6.91,Dec/22,Million
Libya,6.81,6.74,Dec/22,million
Nicaragua,6.73,6.66,Dec/22,Million
Serbia,6.66,6.8,Dec/23,Million
Bulgaria,6.44,6.52,Dec/22,Million
Turkmenistan,6.43,6.12,Dec/22,Million
El Salvador,6.34,6.31,Dec/22,Million
Republic of the Congo,5.97,5.84,Dec/22,million
Denmark,5.93,5.87,Dec/23,Million
Singapore,5.64,5.45,Dec/22,Million
Central African Republic,5.58,5.46,Dec/22,million
Finland,5.56,5.55,Dec/22,Million
Lebanon,5.5,5.6,Dec/22,Million
Norway,5.43,5.39,Dec/22,Million
Slovakia,5.43,5.43,Dec/23,Million
Palestine,5.4,5.3,Dec/22,Million
Liberia,5.3,5.19,Dec/22,Million
Ireland,5.19,5.06,Dec/23,Million
Costa Rica,5.16,5.21,Dec/22,Million
New Zealand,5.15,5.12,Dec/22,Million
Oman,4.93,4.53,Dec/22,Million
Mauritania,4.73,4.61,Dec/22,Million
Panama,4.4,4.38,Dec/22,Million
Kuwait,4.22,4.34,Dec/22,Million
Croatia,3.85,3.86,Dec/23,Million
Georgia,3.74,3.69,Dec/22,Million
Uruguay,3.55,3.54,Dec/22,million
Mongolia,3.45,3.41,Dec/22,Million
Bosnia and Herzegovina,3.44,3.45,Dec/22,Million
Puerto Rico,3.22,3.26,Dec/22,Million
Armenia,2.98,2.96,Dec/22,Million
Qatar,2.91,2.75,Dec/22,Million
Lithuania,2.86,2.81,Dec/23,Million
Jamaica,2.83,2.83,Dec/22,Million
Albania,2.76,2.79,Dec/23,Million
New Caledonia,2.74,2.74,Dec/22,Million
Namibia,2.6,2.55,Dec/22,Million
Moldova,2.51,2.57,Dec/23,Million
Gambia,2.42,2.35,Dec/22,Million
Gabon,2.39,2.34,Dec/22,Million
Botswana,2.34,2.41,Dec/22,Million
Lesotho,2.31,2.28,Dec/22,Million
Guinea Bissau,2.11,2.06,Dec/22,million
Slovenia,2.11,2.11,Dec/22,Million
Latvia,1.88,1.89,Dec/22,Million
Macedonia,1.83,1.84,Dec/23,Million
Kosovo,1.77,1.8,Dec/22,Million
Equatorial Guinea,1.67,1.63,Dec/22,Million
Bahrain,1.47,1.46,Dec/22,Million
Estonia,1.37,1.33,Dec/23,Million
Trinidad and Tobago,1.37,1.38,Dec/22,Million
East Timor,1.34,1.32,Dec/22,Million
Mauritius,1.26,1.27,Dec/22,Million
Swaziland,1.17,1.16,Dec/22,Million
Djibouti,1.12,1.11,Dec/22,Million
Fiji,0.93,0.92,Dec/22,Million
Cyprus,0.9,0.9,Dec/22,Million
Comoros,0.84,0.82,Dec/22,Million
Bhutan,0.78,0.78,Dec/22,Million
Guyana,0.78,0.77,Dec/22,Million
Macau,0.67,0.68,Dec/22,Million
Luxembourg,0.65,0.63,Dec/22,Million
Montenegro,0.62,0.62,Dec/23,Million
Suriname,0.62,0.61,Dec/22,Million
Cape Verde,0.58,0.57,Dec/22,Million
Maldives,0.58,0.57,Dec/22,Million
Malta,0.52,0.52,Dec/22,Million
Brunei,0.45,0.44,Dec/22,Million
Belize,0.44,0.43,Dec/22,Million
Bahamas,0.4,0.4,Dec/22,Million
Iceland,0.39,0.38,Dec/23,Million
Sao Tome and Principe,0.23,0.22,Dec/22,Million
Seychelles,0.1,0.1,Dec/22,Million
Cayman Islands,0.08,0.07,Dec/22,Million
Bermuda,0.06,0.06,Dec/22,Million
Faroe Islands,0.05,0.05,Dec/22,Million
Liechtenstein,0.04,0.04,Dec/22,Million
Monaco,0.04,0.04,Dec/22,Million
